  iter |       grad |      value |  vector
     0 |  9.143e+05 |  7.698e+07 |  [    220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000     220.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000]
     1 |  3.526e+06 |  5.691e+07 |  [    346.079     346.047     -47.251     215.126     215.234     190.644     325.008     246.547     208.769     219.945     204.059     212.535     203.136      -1.977     210.223     -17.341     -17.409      29.927       1.045       9.033       4.824     -17.603     -12.351       0.243     -12.684       2.971       5.947       2.925      25.884       4.023]
     2 |  1.831e+06 |  2.682e+07 |  [    463.686     463.710     -32.551     210.730     220.688     172.131     379.090     219.356     193.809     196.429     189.365     214.908     189.476       6.813     202.979     -36.115     -36.123      21.090       2.145      25.833       7.778     -23.486     -16.001      -1.393     -17.235       4.577      18.197       5.974      24.642       6.670]
     3 |  2.349e+05 |  1.141e+07 |  [    420.952     420.953     -26.602     204.340     247.786     151.600     355.440     187.175     168.058     166.967     169.914     215.285     172.896       0.749     193.718     -40.427     -40.451      16.234       4.219      28.080      10.375     -29.188     -19.098      -2.911     -21.327       5.172      31.921       9.482      18.284       9.324]
     4 |  5.810e+04 |  6.769e+06 |  [    377.970     377.963     -24.269     198.725     280.211     137.170     323.840     162.663     147.659     144.156     154.908     206.959     160.849      -6.163     186.332     -40.586     -40.614      14.150       6.225      19.015      11.981     -30.267     -20.876      -3.616     -23.993       5.125      40.785      11.726      14.832      10.937]
     5 |  2.717e+04 |  4.443e+06 |  [    345.276     345.265     -23.908     192.804     294.566     126.028     298.817     140.368     129.311     123.002     141.351     192.656     150.920      -8.883     179.183     -40.832     -40.865      12.742       8.459       6.015      13.104     -31.236     -21.866      -3.731     -25.972       4.712      48.309      13.304      13.414      11.936]
     6 |  1.779e+04 |  3.189e+06 |  [    319.939     319.926     -23.514     186.770     289.810     118.422     278.325     120.400     113.698     103.685     129.355     175.456     143.287      -9.612     172.086     -42.473     -42.508      11.809      10.787      -4.631      13.854     -33.108     -22.191      -3.337     -27.395       4.169      53.954      14.349      12.468      12.395]
     7 |  1.353e+04 |  2.384e+06 |  [    299.058     299.044     -22.769     180.994     277.928     114.088     260.834     103.127     101.385      86.472     119.071     156.993     137.907      -9.588     165.067     -44.887     -44.924      11.209      13.058     -12.563      14.320     -35.440     -21.991      -2.609     -28.369       3.677      57.590      15.019      11.654      12.450]
     8 |  1.085e+04 |  1.817e+06 |  [    281.035     281.019     -21.812     175.638     264.220     112.273     245.454      88.294      92.316      70.990     110.256     138.012     134.375      -9.223     158.076     -47.559     -47.598      10.803      15.232     -18.764      14.568     -37.895     -21.387      -1.751     -28.977       3.320      59.559      15.454      10.934      12.243]
     9 |  8.899e+03 |  1.398e+06 |  [    265.083     265.066     -20.756     170.782     250.628     112.288     231.707      75.697      86.302      56.903     102.672     118.950     132.266      -8.697     151.131     -50.266     -50.307      10.513      17.314     -23.909      14.621     -40.337     -20.457      -0.967     -29.224       3.136      60.225      15.740      10.300      11.883]
    10 |  7.356e+03 |  1.084e+06 |  [    250.761     250.742     -19.640     166.454     237.833     113.581     219.294      65.355      82.917      44.207      96.180     100.143     131.221      -8.094     144.322     -52.933     -52.976      10.284      19.318     -28.393      14.465     -42.727     -19.281      -0.429     -29.049       3.123      59.874      15.909       9.738      11.432]
    11 |  6.053e+03 |  8.478e+05 |  [    237.741     237.719     -18.452     162.641     225.977     115.619     207.974      57.491      81.423      33.438      90.749      81.892     130.925      -7.455     137.750     -55.547     -55.592      10.061      21.264     -32.448      14.070     -45.069     -18.052      -0.250     -28.414       3.244      58.694      15.959       9.229      10.916]
    12 |  4.944e+03 |  6.722e+05 |  [    225.746     225.723     -17.185     159.304     214.981     117.821     197.531      52.189      81.015      25.457      86.385      64.548     131.031      -6.809     131.469     -58.112     -58.158       9.795      23.167     -36.208      13.449     -47.373     -17.128      -0.482     -27.509       3.432      56.804      15.896       8.753      10.342]
    13 |  4.046e+03 |  5.425e+05 |  [    214.590     214.564     -15.877     156.386     204.727     119.741     187.818      48.996      81.146      20.489      83.018      48.612     131.209      -6.190     125.523     -60.616     -60.664       9.491      25.025     -39.731      12.674     -49.630     -16.787      -1.106     -26.758       3.633      54.303      15.766       8.306       9.736]
    14 |  3.333e+03 |  4.458e+05 |  [    204.144     204.116     -14.579     153.802     195.097     121.214     178.737      47.183      81.546      17.731      80.476      34.604     131.264      -5.626     119.961     -63.036     -63.085       9.201      26.835     -43.035      11.828     -51.818     -16.977      -2.028     -26.399       3.839      51.326      15.625       7.891       9.131]
    15 |  2.765e+03 |  3.731e+05 |  [    194.293     194.263     -13.317     151.459     185.962     122.249     170.197      46.175      82.044      16.247      78.554      22.846     131.140      -5.133     114.811     -65.351     -65.402       8.969      28.591     -46.129      10.969     -53.918     -17.516      -3.140     -26.381       4.048      48.046      15.506       7.505       8.549]
    16 |  2.312e+03 |  3.177e+05 |  [    184.948     184.915     -12.104     149.281     177.218     122.904     162.121      45.600      82.511      15.445      77.069      13.398     130.838      -4.713     110.072     -67.551     -67.603       8.802      30.288     -49.019      10.131     -55.916     -18.260      -4.350     -26.578       4.252      44.655      15.416       7.139       7.999]
    17 |  1.956e+03 |  2.750e+05 |  [    176.058     176.022     -10.934     147.211     168.809     123.233     154.463      45.234      82.864      15.001      75.886       6.097     130.379      -4.363     105.733     -69.631     -69.684       8.693      31.916     -51.715       9.337     -57.806     -19.108      -5.585     -26.899       4.438      41.329      15.355       6.788       7.487]
    18 |  1.677e+03 |  2.413e+05 |  [    167.600     167.561      -9.795     145.213     160.717     123.280     147.199      44.956      83.063      14.747      74.905       0.631     129.778      -4.071     101.773     -71.589     -71.643       8.625      33.461     -54.228       8.601     -59.586     -19.995      -6.791     -27.284       4.591      38.197      15.315       6.445       7.010]
    19 |  1.456e+03 |  2.142e+05 |  [    159.561     159.519      -8.666     143.259     152.944     123.083     140.311      44.707      83.102      14.596      74.059      -3.360     129.047      -3.824      98.167     -73.429     -73.484       8.584      34.908     -56.572       7.933     -61.256     -20.877      -7.934     -27.700       4.703      35.332      15.293       6.107       6.568]
    20 |  1.279e+03 |  1.920e+05 |  [    151.929     151.884      -7.522     141.331     145.497     122.674     133.784      44.459      82.991      14.502      73.300      -6.222     128.197      -3.611      94.882     -75.157     -75.213       8.557      36.248     -58.763       7.336     -62.822     -21.732      -8.996     -28.128       4.771      32.760      15.284       5.772       6.157]
    21 |  1.134e+03 |  1.736e+05 |  [    144.685     144.637      -6.339     139.409     138.378     122.083     127.598      44.202      82.749      14.443      72.593      -8.246     127.234      -3.421      91.889     -76.780     -76.837       8.532      37.477     -60.818       6.810     -64.292     -22.549      -9.970     -28.556       4.796      30.476      15.285       5.438       5.774]
    22 |  1.014e+03 |  1.581e+05 |  [    137.811     137.759      -5.094     137.481     131.585     121.333     121.733      43.934      82.395      14.405      71.911      -9.663     126.168      -3.245      89.156     -78.307     -78.364       8.493      38.594     -62.752       6.349     -65.671     -23.322     -10.859     -28.979       4.782      28.454      15.293       5.104       5.418]
