 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.018e-06  | 1.165e-10  |     0.20132  | 5.743e+00  | 
    46  | 2.050e-06  | 1.219e+02  |     0.00950  | 2.735e+02  | 
    23  | 7.363e-06  | 2.038e+04  |     0.09611  | 5.446e+02  | 
    20  | 1.398e-08  | 8.414e+04  |     0.17312  | 8.157e+02  | 
    70  | 5.564e-09  | 1.980e+05  |     0.24362  | 1.087e+03  | 
    17  | 5.909e-08  | 3.655e+05  |     0.30895  | 1.358e+03  | 
    16  | 1.028e-06  | 5.888e+05  |     0.37013  | 1.629e+03  | 
    16  | 9.736e-09  | 8.695e+05  |     0.42789  | 1.900e+03  | 
    83  | 8.963e-06  | 1.209e+06  |     0.48279  | 2.171e+03  | 
    15  | 1.444e-08  | 1.608e+06  |     0.53525  | 2.442e+03  | 
    15  | 1.369e-08  | 2.067e+06  |     0.58559  | 2.713e+03  | 
    14  | 7.622e-06  | 2.587e+06  |     0.63408  | 2.985e+03  | 
    14  | 1.320e-06  | 3.169e+06  |     0.68093  | 3.256e+03  | 
    14  | 5.589e-07  | 3.812e+06  |     0.72631  | 3.527e+03  | 
    14  | 3.839e-06  | 4.518e+06  |     0.77035  | 3.798e+03  | 
    18  | 1.895e-08  | 5.287e+06  |     0.81319  | 4.069e+03  | 
    28  | 1.673e-08  | 6.119e+06  |     0.85493  | 4.340e+03  | 
    38  | 3.787e-06  | 7.014e+06  |     0.89565  | 4.611e+03  | 
    31  | 5.731e-08  | 8.523e+06  |     1.81741  | 4.882e+03  | 
    58  | 1.035e-08  | 9.587e+06  |     1.89095  | 5.153e+03  | 
    16  | 5.246e-09  | 1.072e+07  |     1.96295  | 5.425e+03  | 
    16  | 1.569e-08  | 1.191e+07  |     2.03352  | 5.696e+03  | 
    19  | 3.337e-06  | 1.317e+07  |     2.10274  | 5.967e+03  | 
    16  | 5.106e-09  | 1.449e+07  |     2.17069  | 6.238e+03  | 
    16  | 3.407e-09  | 1.588e+07  |     2.23745  | 6.509e+03  | 
    28  | 5.084e-09  | 1.733e+07  |     2.30307  | 6.780e+03  | 
    16  | 1.435e-08  | 1.885e+07  |     2.36764  | 7.051e+03  | 
    19  | 1.115e-08  | 2.044e+07  |     2.43119  | 7.322e+03  | 
    19  | 2.153e-08  | 2.209e+07  |     2.49377  | 7.593e+03  | 
