 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.018e-06  | 1.165e-10  |     0.20132  | 5.743e+00  | 
    11  | 1.230e-08  | 3.140e-21  |     0.20632  | 2.712e+02  | 
    12  | 5.219e-07  | 6.580e-13  |     0.20539  | 5.422e+02  | 
    14  | 1.996e-08  | 6.267e-20  |     0.20333  | 8.133e+02  | 
    40  | 4.524e-07  | 3.906e-13  |     0.26155  | 1.084e+03  | 
    31  | 4.749e-07  | 4.446e-13  |     0.25192  | 1.356e+03  | 
    34  | 2.992e-07  | 1.837e-13  |     0.24149  | 1.627e+03  | 
    50  | 3.343e-08  | 2.070e-15  |     0.23047  | 1.898e+03  | 
    32  | 1.484e-08  | 1.108e-16  |     0.19523  | 2.169e+03  | 
    79  | 3.565e-07  | 3.044e-13  |     0.20721  | 2.440e+03  | 
    76  | 4.660e-06  | 5.703e-11  |     0.18946  | 2.711e+03  | 
    61  | 1.279e-08  | 3.178e-17  |     0.16952  | 2.982e+03  | 
    65  | 1.497e-06  | 7.340e-12  |     0.14915  | 3.253e+03  | 
   286  | 1.305e-07  | 8.133e+02  |     0.18666  | 3.524e+03  | 
   110  | 1.822e-08  | 7.247e+02  |     0.14944  | 3.796e+03  | 
   233  | 3.741e-08  | 5.349e-15  |     0.08574  | 4.067e+03  | 
   174  | 3.489e-06  | 7.930e-11  |     0.00237  | 4.338e+03  | 
  2018  | 9.808e-06  | 4.118e+01  |     0.00477  | 4.609e+03  | 
   212  | 8.455e-06  | 1.867e-09  |     0.01897  | 4.880e+03  | 
   495  | 4.538e-06  | 1.215e+01  |     0.00219  | 5.151e+03  | 
   228  | 2.938e-08  | 6.125e+04  |     0.17554  | 5.422e+03  | 
   223  | 2.452e-08  | 7.462e+04  |     0.18963  | 5.693e+03  | 
  2535  | 4.161e-06  | 9.392e+04  |     0.20712  | 5.964e+03  | 
   305  | 6.586e-07  | 1.057e+05  |     0.32243  | 6.236e+03  | 
   301  | 3.911e-07  | 1.229e+05  |     0.34139  | 6.507e+03  | 
   598  | 5.767e-07  | 1.120e+05  |     0.23376  | 6.778e+03  | 
   587  | 2.536e-06  | 1.792e+05  |     0.25381  | 7.049e+03  | 
   200  | 4.315e-06  | 2.275e+05  |     0.45060  | 7.320e+03  | 
   315  | 5.231e-06  | 2.310e+05  |     0.39203  | 7.591e+03  | 
