 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.013e-06  | 1.163e-10  |     0.20132  | 5.743e+00  | 
    15  | 5.686e-10  | 1.319e+04  |     0.15999  | 2.712e+02  | 
    11  | 1.037e-07  | 8.970e+04  |     0.41510  | 5.422e+02  | 
    10  | 3.737e-10  | 2.380e+05  |     0.69890  | 8.133e+02  | 
     9  | 1.602e-09  | 4.591e+05  |     0.98568  | 1.084e+03  | 
     8  | 2.953e-06  | 7.533e+05  |     1.27117  | 1.356e+03  | 
     8  | 1.127e-08  | 1.121e+06  |     1.55492  | 1.627e+03  | 
     8  | 2.701e-10  | 1.562e+06  |     1.83715  | 1.898e+03  | 
     8  | 3.310e-10  | 2.076e+06  |     2.11812  | 2.169e+03  | 
     7  | 1.905e-06  | 2.663e+06  |     2.39807  | 2.440e+03  | 
     7  | 1.839e-07  | 3.324e+06  |     2.67719  | 2.711e+03  | 
     7  | 1.940e-08  | 4.059e+06  |     2.95561  | 2.982e+03  | 
     7  | 2.551e-09  | 4.866e+06  |     3.23346  | 3.253e+03  | 
     7  | 4.078e-10  | 5.748e+06  |     3.51081  | 3.524e+03  | 
     7  | 3.137e-10  | 8.832e+06  |     4.34055  | 4.338e+03  | 
     7  | 3.077e-10  | 1.001e+07  |     4.61652  | 4.609e+03  | 
     7  | 5.983e-10  | 1.397e+07  |     5.44305  | 5.422e+03  | 
     6  | 5.649e-06  | 1.544e+07  |     5.71818  | 5.693e+03  | 
     6  | 3.132e-06  | 1.699e+07  |     5.99317  | 5.964e+03  | 
     6  | 1.787e-06  | 1.860e+07  |     6.26801  | 6.236e+03  | 
     6  | 1.048e-06  | 2.029e+07  |     6.54273  | 6.507e+03  | 
     6  | 6.313e-07  | 2.205e+07  |     6.81734  | 6.778e+03  | 
     6  | 3.900e-07  | 2.389e+07  |     7.09186  | 7.049e+03  | 
     6  | 2.472e-07  | 2.580e+07  |     7.36628  | 7.320e+03  | 
     6  | 1.596e-07  | 2.778e+07  |     7.64063  | 7.591e+03  | 
