 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.013e-06  | 1.163e-10  |     0.20132  | 5.743e+00  | 
    46  | 2.047e-06  | 1.219e+02  |     0.00950  | 2.735e+02  | 
    23  | 7.358e-06  | 2.038e+04  |     0.09611  | 5.446e+02  | 
    20  | 1.345e-08  | 8.414e+04  |     0.17312  | 8.157e+02  | 
    18  | 2.217e-07  | 1.980e+05  |     0.24362  | 1.087e+03  | 
    17  | 5.762e-08  | 3.655e+05  |     0.30895  | 1.358e+03  | 
    16  | 1.021e-06  | 5.888e+05  |     0.37013  | 1.629e+03  | 
    16  | 4.085e-09  | 8.695e+05  |     0.42789  | 1.900e+03  | 
    15  | 1.029e-06  | 1.209e+06  |     0.48279  | 2.171e+03  | 
    15  | 1.182e-08  | 1.608e+06  |     0.53525  | 2.442e+03  | 
    15  | 1.092e-08  | 2.067e+06  |     0.58559  | 2.713e+03  | 
    14  | 7.615e-06  | 2.587e+06  |     0.63408  | 2.985e+03  | 
    14  | 1.320e-06  | 3.169e+06  |     0.68093  | 3.256e+03  | 
    14  | 5.599e-07  | 3.812e+06  |     0.72631  | 3.527e+03  | 
    14  | 3.839e-06  | 4.518e+06  |     0.77035  | 3.798e+03  | 
    35  | 2.391e-07  | 7.014e+06  |     0.89565  | 4.611e+03  | 
    31  | 4.799e-08  | 8.523e+06  |     1.81741  | 4.882e+03  | 
    16  | 1.059e-08  | 9.587e+06  |     1.89095  | 5.153e+03  | 
    16  | 7.261e-09  | 1.072e+07  |     1.96295  | 5.425e+03  | 
    16  | 1.688e-08  | 1.191e+07  |     2.03352  | 5.696e+03  | 
    19  | 3.335e-06  | 1.317e+07  |     2.10274  | 5.967e+03  | 
    16  | 1.012e-08  | 1.449e+07  |     2.17069  | 6.238e+03  | 
    16  | 4.518e-09  | 1.588e+07  |     2.23745  | 6.509e+03  | 
    16  | 4.356e-09  | 1.733e+07  |     2.30307  | 6.780e+03  | 
    16  | 8.141e-09  | 1.885e+07  |     2.36764  | 7.051e+03  | 
    19  | 1.276e-08  | 2.044e+07  |     2.43119  | 7.322e+03  | 
    19  | 9.484e-09  | 2.209e+07  |     2.49377  | 7.593e+03  | 
