 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.013e-06  | 1.163e-10  |     0.20132  | 5.743e+00  | 
    11  | 1.045e-08  | 5.479e-22  |     0.20632  | 2.712e+02  | 
    12  | 5.211e-07  | 6.559e-13  |     0.20539  | 5.422e+02  | 
    14  | 1.538e-08  | 8.319e-21  |     0.20333  | 8.133e+02  | 
    15  | 5.380e-08  | 5.842e-15  |     0.20069  | 1.084e+03  | 
    31  | 4.719e-07  | 4.386e-13  |     0.25192  | 1.356e+03  | 
    34  | 2.867e-07  | 1.686e-13  |     0.24149  | 1.627e+03  | 
    50  | 2.959e-08  | 1.403e-15  |     0.23047  | 1.898e+03  | 
    40  | 1.022e-08  | 3.116e-17  |     0.21902  | 2.169e+03  | 
    52  | 6.781e-07  | 1.081e-12  |     0.20890  | 2.440e+03  | 
    76  | 4.656e-06  | 5.694e-11  |     0.18946  | 2.711e+03  | 
    61  | 5.558e-09  | 7.518e-18  |     0.16952  | 2.982e+03  | 
    65  | 1.468e-06  | 7.051e-12  |     0.14915  | 3.253e+03  | 
    71  | 1.313e-06  | 6.548e-12  |     0.12838  | 3.524e+03  | 
   150  | 3.706e-08  | 3.566e-15  |     0.10724  | 3.796e+03  | 
   233  | 1.822e-08  | 1.077e-15  |     0.08574  | 4.067e+03  | 
   539  | 2.248e-06  | 1.514e+01  |     0.03494  | 4.338e+03  | 
  1430  | 6.921e-06  | 4.118e+01  |     0.00477  | 4.609e+03  | 
   212  | 8.354e-06  | 1.822e-09  |     0.01897  | 4.880e+03  | 
   167  | 4.176e-06  | 4.935e+04  |     0.16115  | 5.151e+03  | 
   228  | 1.661e-08  | 6.125e+04  |     0.17554  | 5.422e+03  | 
   223  | 9.201e-09  | 7.462e+04  |     0.18963  | 5.693e+03  | 
   306  | 5.379e-08  | 8.950e+04  |     0.20343  | 5.964e+03  | 
   182  | 1.498e-08  | 1.033e+05  |     0.28445  | 6.236e+03  | 
   492  | 1.665e-06  | 1.200e+05  |     0.30186  | 6.507e+03  | 
   598  | 4.520e-07  | 1.120e+05  |     0.23376  | 6.778e+03  | 
   587  | 5.122e-07  | 1.291e+05  |     0.24671  | 7.049e+03  | 
   578  | 6.186e-06  | 1.477e+05  |     0.25944  | 7.320e+03  | 
   406  | 9.511e-07  | 1.676e+05  |     0.27197  | 7.591e+03  | 
