 iter   |   grad     |   value    |    e_min     |     S      | 
     6  | 2.029e-07  | 9.978e-14  |     0.20132  | 5.743e+00  | 
    47  | 1.400e-06  | 1.219e+02  |     0.00950  | 2.735e+02  | 
    24  | 4.410e-07  | 2.038e+04  |     0.09611  | 5.446e+02  | 
    20  | 1.234e-06  | 8.414e+04  |     0.17312  | 8.157e+02  | 
    18  | 5.248e-06  | 1.980e+05  |     0.24362  | 1.087e+03  | 
    17  | 3.394e-06  | 3.655e+05  |     0.30895  | 1.358e+03  | 
    17  | 3.968e-08  | 5.888e+05  |     0.37013  | 1.629e+03  | 
    16  | 3.359e-07  | 8.695e+05  |     0.42789  | 1.900e+03  | 
    16  | 2.959e-08  | 1.209e+06  |     0.48279  | 2.171e+03  | 
    15  | 6.786e-07  | 1.608e+06  |     0.53525  | 2.442e+03  | 
    15  | 1.996e-07  | 2.067e+06  |     0.58559  | 2.713e+03  | 
    15  | 2.589e-07  | 2.587e+06  |     0.63408  | 2.985e+03  | 
    15  | 2.439e-08  | 3.169e+06  |     0.68093  | 3.256e+03  | 
    14  | 7.868e-06  | 3.812e+06  |     0.72631  | 3.527e+03  | 
    15  | 3.730e-08  | 4.518e+06  |     0.77035  | 3.798e+03  | 
    18  | 3.135e-07  | 5.287e+06  |     0.81319  | 4.069e+03  | 
    28  | 1.142e-06  | 6.119e+06  |     0.85493  | 4.340e+03  | 
    36  | 4.990e-06  | 7.014e+06  |     0.89565  | 4.611e+03  | 
    32  | 3.782e-07  | 8.523e+06  |     1.81741  | 4.882e+03  | 
    16  | 9.896e-07  | 9.587e+06  |     1.89095  | 5.153e+03  | 
    16  | 8.290e-07  | 1.072e+07  |     1.96295  | 5.425e+03  | 
    16  | 1.727e-06  | 1.191e+07  |     2.03352  | 5.696e+03  | 
    20  | 1.817e-07  | 1.317e+07  |     2.10274  | 5.967e+03  | 
    16  | 8.826e-07  | 1.449e+07  |     2.17069  | 6.238e+03  | 
    16  | 6.733e-07  | 1.588e+07  |     2.23745  | 6.509e+03  | 
    16  | 5.672e-07  | 1.733e+07  |     2.30307  | 6.780e+03  | 
    16  | 9.795e-07  | 1.885e+07  |     2.36764  | 7.051e+03  | 
    19  | 3.746e-06  | 2.044e+07  |     2.43119  | 7.322e+03  | 
    19  | 3.558e-06  | 2.209e+07  |     2.49377  | 7.593e+03  | 
