 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.018e-06  | 1.165e-10  |     0.20132  | 5.743e+00  | 
    46  | 2.052e-06  | 1.219e+02  |     0.00950  | 2.735e+02  | 
    23  | 7.363e-06  | 2.038e+04  |     0.09611  | 5.446e+02  | 
    20  | 1.510e-08  | 8.414e+04  |     0.17312  | 8.157e+02  | 
   575  | 7.811e-07  | 1.980e+05  |     0.24362  | 1.087e+03  | 
    17  | 5.886e-08  | 3.655e+05  |     0.30895  | 1.358e+03  | 
    16  | 1.027e-06  | 5.888e+05  |     0.37013  | 1.629e+03  | 
    16  | 7.572e-09  | 8.695e+05  |     0.42789  | 1.900e+03  | 
    83  | 8.963e-06  | 1.209e+06  |     0.48279  | 2.171e+03  | 
    15  | 1.265e-08  | 1.608e+06  |     0.53525  | 2.442e+03  | 
    15  | 7.161e-09  | 2.067e+06  |     0.58559  | 2.713e+03  | 
    14  | 7.625e-06  | 2.587e+06  |     0.63408  | 2.985e+03  | 
    14  | 1.322e-06  | 3.169e+06  |     0.68093  | 3.256e+03  | 
    14  | 5.590e-07  | 3.812e+06  |     0.72631  | 3.527e+03  | 
    14  | 3.840e-06  | 4.518e+06  |     0.77035  | 3.798e+03  | 
    18  | 8.719e-09  | 5.287e+06  |     0.81319  | 4.069e+03  | 
    28  | 1.994e-08  | 6.119e+06  |     0.85493  | 4.340e+03  | 
    38  | 3.787e-06  | 7.014e+06  |     0.89565  | 4.611e+03  | 
    31  | 5.670e-08  | 8.523e+06  |     1.81741  | 4.882e+03  | 
    58  | 1.317e-08  | 9.587e+06  |     1.89095  | 5.153e+03  | 
    16  | 6.947e-09  | 1.072e+07  |     1.96295  | 5.425e+03  | 
    16  | 1.054e-08  | 1.191e+07  |     2.03352  | 5.696e+03  | 
    19  | 3.337e-06  | 1.317e+07  |     2.10274  | 5.967e+03  | 
    16  | 3.506e-09  | 1.449e+07  |     2.17069  | 6.238e+03  | 
    16  | 9.636e-09  | 1.588e+07  |     2.23745  | 6.509e+03  | 
    28  | 2.650e-09  | 1.733e+07  |     2.30307  | 6.780e+03  | 
    16  | 1.322e-08  | 1.885e+07  |     2.36764  | 7.051e+03  | 
    19  | 1.819e-08  | 2.044e+07  |     2.43119  | 7.322e+03  | 
    19  | 2.179e-08  | 2.209e+07  |     2.49377  | 7.593e+03  | 
