 iter   |   grad     |   value    |      M       |    e_min     |   time     |      x[0]    x[1]    x[2]    x[3]  | 
     0  | 6.477e+03  | 2.579e+05  |     0.11000  |   -29.66203  | +0.000000  | [110.000 110.000   0.000   0.000]  | 
        |            |            |     0.22000  |              |            |                                    | 
        |            |            |     0.44000  |              |            |                                    | 
        |            |            |     0.88000  |              |            |                                    | 
     1  | 1.327e+04  | 1.955e+05  |     0.88000  |   -27.69639  | +0.007017  | [187.648 122.623 -36.170   7.822]  | 
     2  | 3.279e+03  | 9.097e+04  |     0.88000  |   -15.77319  | +0.001503  | [163.793 110.626  -1.191  32.900]  | 
        |            |            |     1.76000  |              |            |                                    | 
        |            |            |     3.52000  |              |            |                                    | 
        |            |            |     7.04000  |              |            |                                    | 
        |            |            |    14.08000  |              |            |                                    | 
        |            |            |    28.16000  |              |            |                                    | 
        |            |            |    56.32000  |              |            |                                    | 
        |            |            |   112.64000  |              |            |                                    | 
        |            |            |   225.28000  |              |            |                                    | 
        |            |            |   450.56000  |              |            |                                    | 
        |            |            |   901.12000  |              |            |                                    | 
        |            |            |  1802.24000  |              |            |                                    | 
        |            |            |  3604.48000  |              |            |                                    | 
        |            |            |  7208.96000  |              |            |                                    | 
        |            |            | 14417.92000  |              |            |                                    | 
     3  | 9.383e+02  | 6.308e+04  |     0.03300  |   -33.53284  | +0.024536  | [125.538  55.459 -47.938   3.304]  | 
     4  | 9.465e+02  | 6.044e+04  |     0.03300  |   -35.00801  | +0.001012  | [114.375  71.905 -74.187 -15.607]  | 
     5  | 8.438e+02  | 5.412e+04  |     0.03300  |   -26.97035  | +0.001002  | [ 92.103  65.390 -95.304 -35.489]  | 
     6  | 6.656e+02  | 5.018e+04  |     0.03300  |   -15.22201  | +0.001001  | [ 68.254  59.239 -107.534 -48.530]  | 
     7  | 3.408e+02  | 4.851e+04  |     0.03300  |    -7.15074  | +0.001502  | [ 51.509  61.063 -113.528 -60.965]  | 
        |            |            |     0.06600  |              |            |                                     | 
        |            |            |     0.13200  |              |            |                                     | 
        |            |            |     0.26400  |              |            |                                     | 
        |            |            |     0.52800  |              |            |                                     | 
        |            |            |     1.05600  |              |            |                                     | 
        |            |            |     2.11200  |              |            |                                     | 
        |            |            |     4.22400  |              |            |                                     | 
        |            |            |     8.44800  |              |            |                                     | 
        |            |            |    16.89600  |              |            |                                     | 
     8  | 1.911e+02  | 4.778e+04  |    16.89600  |    -7.83125  | +0.017017  | [ 49.957  59.136 -111.979 -59.345]  | 
     9  | 1.977e+02  | 4.713e+04  |    16.89600  |    -8.00284  | +0.001001  | [ 47.939  57.131 -111.156 -57.663]  | 
    10  | 2.204e+02  | 4.638e+04  |    16.89600  |    -8.02395  | +0.001002  | [ 45.584  55.025 -110.523 -56.054]  | 
    11  | 2.488e+02  | 4.548e+04  |    16.89600  |    -7.97506  | +0.001002  | [ 42.959  52.806 -109.933 -54.465]  | 
    12  | 2.805e+02  | 4.441e+04  |    16.89600  |    -7.88930  | +0.001002  | [ 40.113  50.470 -109.328 -52.833]  | 
    13  | 3.143e+02  | 4.312e+04  |    16.89600  |    -7.81372  | +0.001001  | [ 37.088  48.015 -108.675 -51.102]  | 
    14  | 3.494e+02  | 4.161e+04  |    16.89600  |    -7.85774  | +0.001002  | [ 33.922  45.440 -107.950 -49.222]  | 
    15  | 3.853e+02  | 3.986e+04  |    16.89600  |    -8.28214  | +0.001002  | [ 30.663  42.745 -107.137 -47.149]  | 
    16  | 4.216e+02  | 3.784e+04  |    16.89600  |    -9.47349  | +0.001002  | [ 27.363  39.926 -106.227 -44.837]  | 
    17  | 4.583e+02  | 3.554e+04  |    16.89600  |   -11.40957  | +0.001001  | [ 24.087  36.976 -105.214 -42.239]  | 
    18  | 4.958e+02  | 3.295e+04  |    16.89600  |   -13.56997  | +0.001002  | [ 20.916  33.885 -104.104 -39.306]  | 
    19  | 5.347e+02  | 3.005e+04  |    16.89600  |   -15.43083  | +0.001002  | [ 17.941  30.643 -102.910 -35.989]  | 
    20  | 5.751e+02  | 2.680e+04  |    16.89600  |   -16.51533  | +0.000999  | [ 15.263  27.245 -101.655 -32.253]  | 
    21  | 6.156e+02  | 2.319e+04  |    16.89600  |   -16.33984  | +0.001502  | [ 12.979  23.699 -100.370 -28.089]  | 
    22  | 6.505e+02  | 1.923e+04  |    16.89600  |   -14.49581  | +0.001002  | [ 11.156  20.046 -99.082 -23.532]  | 
    23  | 6.685e+02  | 1.503e+04  |    16.89600  |   -10.93229  | +0.001001  | [  9.820  16.365 -97.813 -18.678]  | 
    24  | 6.544e+02  | 1.082e+04  |    16.89600  |    -6.46213  | +0.001001  | [  8.950  12.781 -96.570 -13.686]  | 
    25  | 5.958e+02  | 6.999e+03  |    16.89600  |    -2.74675  | +0.001002  | [  8.484   9.454 -95.360  -8.772]  | 
    26  | 4.916e+02  | 3.960e+03  |    16.89600  |    -0.54280  | +0.001002  | [  8.339   6.563 -94.197  -4.185]  | 
    27  | 3.570e+02  | 1.929e+03  |    16.89600  |     0.57762  | +0.001002  | [  8.428   4.263 -93.118  -0.177]  | 
