 iter   |   grad     |   value    |      M       |    e_min     |   time     |      x[0]    x[1]    x[2]    x[3]  | 
     0  | 6.095e+03  | 2.631e+05  |     0.10000  |   -31.95304  | +0.000000  | [110.000 110.000   0.000   0.000]  | 
        |            |            |     0.20000  |              |            |                                    | 
        |            |            |     0.40000  |              |            |                                    | 
        |            |            |     0.80000  |              |            |                                    | 
        |            |            |     1.60000  |              |            |                                    | 
     1  | 3.982e+03  | 4.782e+04  |     1.60000  |    -8.72391  | +0.256128  | [168.906 112.464 -29.777   6.821]  | 
     2  | 4.717e+02  | 3.921e+03  |     1.60000  |    19.56755  | +0.045012  | [167.184 140.093 -32.677  -2.944]  | 
     3  | 1.600e+02  | 5.570e+02  |     1.60000  |    20.18793  | +0.044011  | [167.333 143.424 -39.322 -10.728]  | 
     4  | 4.270e+01  | 4.432e+01  |     1.60000  |    19.81197  | +0.044998  | [166.345 143.360 -42.870 -14.375]  | 
     5  | 5.729e+00  | 8.067e-01  |     1.60000  |    19.52488  | +0.045007  | [165.782 143.034 -44.105 -15.562]  | 
     6  | 1.379e-01  | 4.633e-04  |     1.60000  |    19.47162  | +0.044011  | [165.683 142.965 -44.291 -15.734]  | 
     7  | 8.361e-05  | 1.696e-10  |     1.60000  |    19.47024  | +0.044023  | [165.680 142.963 -44.295 -15.738]  | 
     8  | 3.298e-11  | 2.309e-23  |     1.60000  |    19.47024  | +0.044007  | [165.680 142.963 -44.295 -15.738]  | 




x optimal:                   [1.65680288067e+02 1.42962802237e+02 -4.42952140560e+01 -1.57378550110e+01]
